dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb
8/30/2016,160830_212600phi,2f89b041-e43c-4a7e-b575-0320a8623404,5,3,453286,517370,57,Strikeout,B,442,3.79,1.72,-11.244,-0.388,CH,20,0.909,L,2,0,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,271.738,-2.06184,8,was,0.081510143,-121.6952362,0.327758263,-10.03891051,-0.652287625,-10.03891051,-0.652287625,-3.349344792,55,5.377785894,7.424206833,-124.6501123,-3.026394834,-15.57499925,24.26399928,-33.19100018,85.16,-1.585615014,0.66365777,-1.56,0.621,2
8/30/2016,160830_212618phi,7e508fe5-0047-4259-8dd5-b2a3c5973e69,5,4,453286,517370,57,Strikeout,B,443,3.79,1.72,-7.49,5.698,FF,0,0.901,L,2,1,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,232.528,1.29662,8,was,0.073779688,-134.3333198,0.298022433,-6.475319427,5.535808759,-6.475319427,5.535808759,-3.256077167,55,5.21398524,6.980373299,-137.9335378,1.880330307,-12.15100042,32.67400104,-21.79100056,94.17,-1.419020957,4.16600844,-1.408,4.097,12
8/30/2016,160830_212636phi,fcbfe3ad-8c29-4a1a-9d90-4e591952b8db,5,5,453286,517370,57,Strikeout,S,444,3.79,1.72,-5.571,9.848,FF,16,0.899,L,2,2,R,gid_2016_08_30_wasmlb_phimlb_1/,Called Strike,209.373,-1.02899,8,was,0.07294057,-136.0188305,0.292998949,-4.574516973,9.730055975,-4.574516973,9.730055975,-3.191639304,55,5.427032762,8.639127382,-139.2435358,-6.47497975,-8.880999962,29.5880006,-13.28899976,95.22,-0.436397508,1.750510955,-0.432,1.69,22
8/30/2016,160830_212712phi,ebbe2b23-ecee-406f-a46b-899211e80047,3,1,453286,520471,58,Pop Out,S,448,3.22,1.47,-6.867,7.202,FF,5,0.9,L,0,0,R,gid_2016_08_30_wasmlb_phimlb_1/,Called Strike,223.458,0.537143,8,was,0.073694984,-134.5778934,0.296603083,-5.856388351,7.055113943,-5.856388351,7.055113943,-3.228443707,55,5.340533777,7.466858513,-137.9139927,-2.227206081,-11.09499971,30.30199939,-18.81299992,94.18,-1.109269395,2.878892915,-1.1,2.815,0
8/30/2016,160830_212724phi,82c64182-6e4a-45b0-a962-9fff69378bca,3,2,453286,520471,58,Pop Out,B,449,3.22,1.47,-6.566,8.779,FF,5,0.901,L,1,0,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,216.646,0.915429,8,was,0.073517303,-134.8888,0.296057597,-5.556665982,8.647383494,-5.556665982,8.647383494,-3.234904272,55,5.449518451,6.854616142,-138.2756606,-2.31767858,-10.56600038,30.83899814,-15.73600026,94.41,-1.323069425,3.212665554,-1.314,3.146,1
8/30/2016,160830_212755phi,859061d2-353b-4568-acd0-4c948eec9315,3,3,453286,520471,58,Pop Out,X,450,3.22,1.47,-8.497,7.489,FF,18,0.901,L,1,1,R,gid_2016_08_30_wasmlb_phimlb_1/,"In play, out(s)",228.44,-0.496,8,was,0.073326493,-135.1817228,0.29597597,-7.506245941,7.345934774,-7.506245941,7.345934774,-3.356496101,55,5.181830715,12.2368258,-138.7502007,-4.225237778,-14.28100053,32.58400089,-18.20299931,95.01,0.431355318,1.972055926,0.433,1.911,11
8/30/2016,160830_212833phi,4e962c89-3a99-4e39-926d-6a54a3c95587,6,1,453286,571830,59,Strikeout,B,456,3.42,1.61,-1.859,1.318,SL,23,0.904,R,0,0,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,233.696,-1.11492,8,was,0.080804744,-122.7982202,0.324346035,-0.592067499,1.075568017,-0.592067499,1.075568017,-3.218341865,55,5.662155133,8.264464218,-125.6579599,-2.449801334,-0.937999884,23.68399936,-30.47500058,85.88,0.367167637,1.553165992,0.376,1.506,0
8/30/2016,160830_212848phi,58b0fccb-24e7-4f03-b59e-f71462cdc9f4,6,2,453286,571830,59,Strikeout,B,457,3.42,1.61,-8.541,9.178,FF,24,0.902,R,0,1,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,222.794,-1,8,was,0.073688118,-134.5941783,0.296531027,-7.546032451,9.049646503,-7.546032451,9.049646503,-3.28775614,55,5.315032952,17.12260201,-137.9194431,-5.909081935,-14.30299989,30.20599872,-15.02600022,94.84,2.492147644,1.670148672,2.485,1.61,10
8/30/2016,160830_212914phi,13928126-f4aa-4a7e-8365-5189e4f276d0,6,3,453286,571830,59,Strikeout,S,458,3.42,1.61,0.493,-1.105,SL,22,0.904,R,0,2,R,gid_2016_08_30_wasmlb_phimlb_1/,Swinging Strike,24.9483,-1.36906,8,was,0.081222436,-122.1493821,0.326270471,1.796703942,-1.373236653,1.796703942,-1.373236653,-3.326352895,55,5.273656673,6.928088687,-125.0460377,-1.14606699,2.812999984,23.86799937,-34.32900067,85.39,0.056683574,1.321362898,0.066,1.276,20
8/30/2016,160830_212936phi,11905f34-a163-4d7a-93bd-154ef11dca13,6,4,453286,571830,59,Strikeout,B,459,3.42,1.61,-7.659,8.92,FF,23,0.902,R,1,2,R,gid_2016_08_30_wasmlb_phimlb_1/,Ball,220.502,-1.41326,8,was,0.073687393,-134.6948541,0.295358526,-6.664182733,8.790314466,-6.664182733,8.790314466,-3.277825553,55,5.272028123,11.75391611,-137.7243759,-6.691417011,-12.73199979,27.50999957,-15.38500043,94.35,0.441494474,1.294033812,0.444,1.236,21
